"time","guessed_miner","transaction_count"
"2015-10-26 08:25:38","21 Inc.",675
"2015-10-26 04:26:26","21 Inc.",539
"2015-10-26 00:41:04","21 Inc.",329
"2015-10-26 00:31:28","21 Inc.",1838
"2015-10-25 23:33:54","21 Inc.",1433
"2015-10-25 17:41:52","21 Inc.",1646
"2015-10-25 17:07:12","21 Inc.",698
"2015-10-25 15:06:57","21 Inc.",1628
"2015-10-25 11:24:48","21 Inc.",468
"2015-10-25 10:37:37","21 Inc.",158
"2015-10-25 10:18:42","21 Inc.",620
"2015-10-25 08:42:41","21 Inc.",740
"2015-10-25 01:56:00","21 Inc.",948
"2015-10-25 00:01:36","21 Inc.",1577
"2015-10-24 23:02:26","21 Inc.",196
"2015-10-24 20:29:22","21 Inc.",2381
"2015-10-24 19:55:44","21 Inc.",926
"2015-10-24 19:41:38","21 Inc.",1035
"2015-10-24 16:37:36","21 Inc.",1805
"2015-10-24 15:42:58","21 Inc.",1289
"2015-10-24 14:46:56","21 Inc.",1166
"2015-10-24 12:16:48","21 Inc.",1025
"2015-10-24 01:55:30","21 Inc.",2048
"2015-10-23 18:04:18","21 Inc.",1420
"2015-10-23 17:51:45","21 Inc.",981
"2015-10-23 05:30:58","21 Inc.",958
"2015-10-22 21:08:17","21 Inc.",1987
"2015-10-22 20:22:10","21 Inc.",2653
"2015-10-22 17:59:28","21 Inc.",1012
"2015-10-22 14:37:36","21 Inc.",1645
"2015-10-22 13:14:58","21 Inc.",2530
"2015-10-22 12:25:39","21 Inc.",1936
"2015-10-22 09:18:57","21 Inc.",1074
"2015-10-22 01:20:32","21 Inc.",973
"2015-10-22 00:14:11","21 Inc.",523
"2015-10-21 20:02:42","21 Inc.",1342
"2015-10-21 16:36:49","21 Inc.",491
"2015-10-21 15:15:13","21 Inc.",1548
"2015-10-21 12:21:05","21 Inc.",374
"2015-10-21 11:50:26","21 Inc.",922
"2015-10-21 11:35:29","21 Inc.",2709
"2015-10-21 01:08:32","21 Inc.",1784
"2015-10-20 06:00:16","21 Inc.",676
"2015-10-20 02:16:33","21 Inc.",922
"2015-10-19 17:53:22","21 Inc.",1134
"2015-10-19 13:00:33","21 Inc.",1857
"2015-10-19 00:36:01","21 Inc.",269
"2015-10-18 22:33:21","21 Inc.",682
"2015-10-18 21:29:54","21 Inc.",202
"2015-10-18 20:59:15","21 Inc.",797
"2015-10-18 20:53:38","21 Inc.",1014
"2015-10-18 15:40:16","21 Inc.",939
"2015-10-18 14:54:09","21 Inc.",600
"2015-10-17 22:19:45","21 Inc.",1322
"2015-10-17 13:57:20","21 Inc.",2376
"2015-10-17 00:38:57","21 Inc.",1240
"2015-10-16 20:35:28","21 Inc.",2092
"2015-10-16 19:38:24","21 Inc.",1736
"2015-10-16 19:00:18","21 Inc.",2281
"2015-10-16 17:41:04","21 Inc.",429
"2015-10-16 05:44:49","21 Inc.",1298
"2015-10-16 01:24:18","21 Inc.",896
"2015-10-15 18:22:24","21 Inc.",719
"2015-10-15 17:43:44","21 Inc.",757
"2015-10-15 13:48:50","21 Inc.",1597
"2015-10-15 11:22:58","21 Inc.",401
"2015-10-15 11:05:20","21 Inc.",1785
"2015-10-15 10:16:17","21 Inc.",783
"2015-10-15 05:26:25","21 Inc.",815
"2015-10-15 03:22:41","21 Inc.",1938
"2015-10-14 16:11:29","21 Inc.",1762
"2015-10-14 14:45:53","21 Inc.",2501
"2015-10-14 13:41:05","21 Inc.",561
"2015-10-14 01:47:12","21 Inc.",793
"2015-10-13 23:46:58","21 Inc.",745
"2015-10-13 11:11:30","21 Inc.",2517
"2015-10-12 11:25:52","21 Inc.",747
"2015-10-12 05:18:58","21 Inc.",2090
"2015-10-12 03:16:50","21 Inc.",424
"2015-10-12 02:49:20","21 Inc.",1028
"2015-10-12 00:03:14","21 Inc.",1566
"2015-10-11 23:46:58","21 Inc.",2481
"2015-10-10 21:57:21","21 Inc.",578
"2015-10-10 20:51:44","21 Inc.",1259
"2015-10-10 17:06:42","21 Inc.",1940
"2015-10-10 15:45:06","21 Inc.",358
"2015-10-10 07:48:01","21 Inc.",518
"2015-10-10 03:37:05","21 Inc.",2148
"2015-10-10 01:40:02","21 Inc.",241
"2015-10-09 21:34:26","21 Inc.",939
"2015-10-09 19:30:10","21 Inc.",1136
"2015-10-09 04:05:36","21 Inc.",246
"2015-10-09 02:09:06","21 Inc.",593
"2015-10-08 18:29:54","21 Inc.",2212
"2015-10-08 17:59:12","21 Inc.",368
"2015-10-08 17:58:25","21 Inc.",1893
"2015-10-08 14:32:32","21 Inc.",1716
"2015-10-08 11:18:56","21 Inc.",888
"2015-10-08 10:32:50","21 Inc.",673
"2015-10-08 07:31:12","21 Inc.",2442
"2015-10-07 18:30:09","21 Inc.",2008
"2015-10-07 18:04:17","21 Inc.",819
"2015-10-07 17:29:52","21 Inc.",459
"2015-10-07 16:13:05","21 Inc.",849
"2015-10-07 16:00:50","21 Inc.",2763
"2015-10-07 12:23:13","21 Inc.",1779
"2015-10-07 11:17:52","21 Inc.",2306
"2015-10-07 00:21:20","21 Inc.",2248
"2015-10-06 20:17:53","21 Inc.",765
"2015-10-06 18:17:05","21 Inc.",1524
"2015-10-06 15:44:49","21 Inc.",2108
"2015-10-06 13:38:09","21 Inc.",128
"2015-10-06 08:56:16","21 Inc.",414
"2015-10-05 05:39:30","21 Inc.",1286
"2015-10-05 05:04:01","21 Inc.",207
"2015-10-05 04:56:49","21 Inc.",716
"2015-10-05 04:08:33","21 Inc.",239
"2015-10-05 02:40:18","21 Inc.",979
"2015-10-04 17:02:58","21 Inc.",590
"2015-10-04 13:34:58","21 Inc.",131
"2015-10-04 04:17:37","21 Inc.",23
"2015-10-03 23:07:13","21 Inc.",789
"2015-10-03 18:55:44","21 Inc.",2700
"2015-10-03 16:22:40","21 Inc.",692
"2015-10-03 13:24:51","21 Inc.",1111
"2015-10-03 05:08:49","21 Inc.",1076
"2015-10-02 12:44:01","21 Inc.",1471
"2015-10-02 07:56:02","21 Inc.",1093
"2015-10-01 10:56:32","21 Inc.",1349
"2015-10-01 10:24:18","21 Inc.",329
"2015-10-01 08:05:36","21 Inc.",566
"2015-10-01 07:27:45","21 Inc.",733
"2015-10-01 07:21:04","21 Inc.",747
